,precision,recall,f1-score,support
Background,0.9993578507622942,0.9992499251313917,0.999303885032829,648048642.0
NCR/NET,0.8899134485293664,0.8757979035481362,0.8827992544130188,1644779.0
Edema,0.8733130038492309,0.8870972923982274,0.8801511815537747,4015103.0
Enhancing Tumor,0.847540106312582,0.8674888363616472,0.8573984523532163,1389332.0
accuracy,0.997973145557051,0.997973145557051,0.997973145557051,0.997973145557051
macro avg,0.9025311023633684,0.9074084893598506,0.9049131933382097,655097856.0
weighted avg,0.9979885589232942,0.997973145557051,0.9979801308826725,655097856.0
