,precision,recall,f1-score,support
Background,0.9986763280392119,0.9985671412001227,0.9986217316351124,648047107.0
NCR/NET,0.8065603723651571,0.7803918111768013,0.7932603342951804,1644925.0
Edema,0.7535843452330475,0.7677702733321282,0.7606111706737533,4016286.0
Enhancing Tumor,0.7075028126334175,0.7322563326803585,0.7196667812477455,1389538.0
accuracy,0.996039461927349,0.996039461927349,0.996039461927349,0.996039461927349
macro avg,0.8165809645677085,0.8197463895973527,0.8180400044629479,655097856.0
weighted avg,0.9960737054137858,0.996039461927349,0.9960551821206959,655097856.0
