epoch,lr,time_s,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_mean_dice,train_dice_bg,train_dice_ncr,train_dice_ed,train_dice_et,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_mean_dice,val_dice_bg,val_dice_ncr,val_dice_ed,val_dice_et
1,9.990232305719945e-05,1172.9175417423248,0.5403585940526396,0.99067,0.5551932761746345,0.5477256127786007,0.5481468360298388,0.39856980957782034,0.9968779154202767,0.36166205875382335,0.4891354325841418,0.34491193739549597,0.25876248815912917,0.9923955,0.6443102169831003,0.5731245664992187,0.6043357404813454,0.47325995509401003,0.9975630966752183,0.4118962433062041,0.5484855671793948,0.45939805479643125
2,9.960967771506666e-05,818.6886842250824,0.2522182731832169,0.9926953,0.6499322482221493,0.6397395041284221,0.643606791951185,0.5255995364786242,0.9976286088222587,0.5138870778564375,0.568929782694001,0.49398174888543417,0.2498209454734263,0.9927754,0.6479068213247451,0.6156403742176659,0.630485997569978,0.508050284921335,0.9977931355426979,0.46795860436156467,0.5611240163686401,0.4950682340338002
3,9.912321891107009e-05,823.5353064537048,0.23969031994392415,0.9932189,0.67535654951477,0.6667662138502164,0.669941998795527,0.5606573404633085,0.9977959738157404,0.5577876449636205,0.5967395525436345,0.5274448238826703,0.24331262708758658,0.99279,0.6559021870312495,0.6495980946864504,0.6491741062094032,0.5329872916139652,0.9977346004711417,0.4858123009192401,0.5868614455146244,0.5262881284080312
4,9.844486647586723e-05,820.2472443580627,0.22161925974467464,0.9934426,0.6899887708373809,0.6820108343924552,0.6846928623883295,0.5803067341455611,0.9978512471390318,0.5790087211903331,0.6113548103107451,0.5505566709356051,0.21973563169826374,0.993004,0.6652997694599219,0.6434861152293428,0.652756000194207,0.5377445382398846,0.9977904365384612,0.4623078799838422,0.6134218023178866,0.5375039324179249
5,9.757729755661011e-05,542.5240201950073,0.20133784808749172,0.9937115,0.7017405434392454,0.6973254066462767,0.6978653509010303,0.5978404976128325,0.9979399612337425,0.5986251587285208,0.6282503613700224,0.5666459727399543,0.21554586699487568,0.9932069,0.677823404665207,0.6491811389047504,0.6611726970429657,0.5489365926764886,0.9978809597312601,0.4987147709653283,0.583969465652205,0.5641255414119327
6,9.652393605146844e-05,535.487893819809,0.19474209259067024,0.9938731,0.7096828891594259,0.7058809180191999,0.7061282405024772,0.6088374681128585,0.9980005576923427,0.6103078459552276,0.6376149629978818,0.5785895953854662,0.2261399989895257,0.992636,0.6375582709189451,0.6800653484139949,0.6510788503055183,0.5354881770173808,0.9978509206740825,0.5108934639325096,0.5806249426760278,0.5149461244436054
7,9.528893909706797e-05,537.8915545940399,0.19119965105860526,0.9940012,0.7186833519714868,0.7149098175369146,0.7151290865627582,0.6208294588282247,0.9980279697866045,0.6275036268837558,0.6462817438004929,0.5887030058004251,0.21586518100415678,0.9931836,0.6988590227407491,0.6665556334057291,0.6755499045684218,0.5681306365667879,0.9978077085987374,0.49889671674866687,0.6239245410165138,0.5815706519351828
8,9.387718066217124e-05,534.3101389408112,0.18447986231207855,0.9941664,0.72704822666752,0.7232669509666779,0.7237195167705339,0.632267402697373,0.998075808552708,0.640790402265974,0.6553436800249859,0.6006681258011596,0.20822440124838482,0.9929253,0.660611251714111,0.6674634115712683,0.6638728320554783,0.5525646578817462,0.997797354600115,0.5118972680449894,0.599783048465216,0.5460136571350334
9,9.229423231234974e-05,534.7826271057129,0.17830323023038083,0.9942733,0.7298898944592481,0.7281923754960967,0.7280378641610796,0.6380176939966378,0.9980983242202524,0.6516709786471451,0.6587126764785665,0.6036694268642018,0.20588547188795642,0.9931462,0.6690487993821519,0.6893852469788446,0.6760426036831629,0.5687661535607873,0.9978719540724069,0.536849562386324,0.6147458797868794,0.5547030185091587
10,9.054634122155989e-05,539.2307894229889,0.17325645836950446,0.9943446,0.7319008714873687,0.7331978674551146,0.731744712820039,0.6429499013885692,0.9981290966767177,0.6589139106464846,0.6630822689733354,0.6068535245458876,0.20087892115360745,0.9936783,0.7052185331824163,0.6646692933039298,0.6831273335581747,0.5781729712514603,0.9979904205022605,0.5358198111035161,0.6352603989920785,0.5634387036587862
