epoch,lr,time_s,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_mean_dice,train_dice_bg,train_dice_ncr,train_dice_ed,train_dice_et,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_mean_dice,val_dice_bg,val_dice_ncr,val_dice_ed,val_dice_et
1,9.990232305719945e-05,760.2700152397156,0.35405543265382006,0.9925561,0.6531693693604751,0.6154864434687518,0.6304294495951897,0.5080683604623061,0.9975126666106043,0.4391343762478991,0.565618677046182,0.5194520280928371,1.115125044247251,0.9887046,0.24717615,0.25,0.2485800555798986,3.4478564655079274e-11,0.9943202223195946,4.3431053201153916e-11,1.474143522591631e-11,4.52632055381676e-11
2,9.960967771506666e-05,517.0958383083344,0.20381757714396187,0.9943743,0.7363943908481612,0.7072412915063099,0.719063972075229,0.6260249969394148,0.9981808975034088,0.5732392789256917,0.6617849772542347,0.6430507346383184,1.1420776353970756,0.9886927,0.247173175,0.25,0.24857855112557106,3.448677714377747e-11,0.9943141545039036,4.360148244850222e-11,1.47080453005632e-11,4.515080368226698e-11
3,9.912321891107009e-05,517.3035135269165,0.17975448428162363,0.9948534,0.75794605796466,0.7391719962505219,0.7474143073499375,0.6637731637673335,0.9983376876583342,0.6208496198698327,0.6902089752415411,0.680260896190627,0.8474878879407277,0.9887288,0.2471822,0.25,0.2485831150029104,3.4554540703598036e-11,0.9943324600116419,4.3666215447200285e-11,1.4771048744242675e-11,4.522635791935116e-11
4,9.844486647586723e-05,520.4733126163483,0.1680391605517843,0.9951763,0.7741494899315013,0.7558191383087821,0.7641384256686297,0.6860352775592217,0.9984478700136877,0.6522317750765282,0.7064770678974045,0.6993969897037321,0.873056920371097,0.9886747,0.247168675,0.25,0.24857627544615518,3.440207731629518e-11,0.9943050517862451,4.328629555695237e-11,1.4697668949488555e-11,4.522226744244461e-11
5,9.757729755661011e-05,517.8911375999451,0.15916181398596072,0.9954384,0.7860905844415487,0.770586301816842,0.7777240935495467,0.7041244502783904,0.9985230233788257,0.6764017953162568,0.7205971353663861,0.7153744201525283,1.1145453429335332,0.9886957,0.247173925,0.25,0.24857893040146864,3.441364966738055e-11,0.9943157716042619,4.348582361960837e-11,1.474252185557131e-11,4.501260352696198e-11
6,9.652393605146844e-05,519.5861432552338,0.15260340072991266,0.9956309,0.7981503750004355,0.7823177263798746,0.7895824897872177,0.7199199122937726,0.9985702727520107,0.6981462344792343,0.7329123686515239,0.7287011337505598,0.852461675887903,0.9887025,0.24717602048163276,0.24999959543001793,0.2485797900892667,3.446577553505408e-11,0.9943192103554562,4.3610989967570385e-11,1.4739262447089893e-11,4.5047074190501957e-11
7,9.528893909706797e-05,522.1330354213715,0.14761591276751884,0.9957338,0.8040027398838474,0.7890109462732426,0.7959235988696457,0.7283647178904932,0.9986002418214426,0.7073435025484007,0.7396699521644166,0.7380806989586622,0.15559221326074726,0.9951144,0.7719391640898822,0.7730532360455293,0.77238416618292,0.6970379790452608,0.9984227276120483,0.6348889332793003,0.7242541217235523,0.73197088213293
8,9.387718066217124e-05,523.9065771102905,0.14369615558914992,0.9958691,0.808242170867345,0.7945248043195088,0.8008100142172732,0.7348646206901371,0.998646144341593,0.7181565588042251,0.7457142164371563,0.7407230868290302,0.9012125935021083,0.9886876,0.2471719,0.25,0.24857790635391905,3.44095528639397e-11,0.9943116254156764,4.348771471870025e-11,1.4724287712365102e-11,4.501665616075373e-11
9,9.229423231234974e-05,551.9586293697357,0.1404460830739377,0.9959778,0.8137969966264881,0.8004144498761945,0.8066319318005464,0.7426170414659584,0.9986765523445634,0.7240797740075878,0.7532103930172175,0.7505609573730703,0.7135709004046825,0.9886891,0.247172275,0.25,0.24857809599298353,3.439736452627299e-11,0.9943123339735543,4.3414083526811926e-11,1.4732965008991042e-11,4.504504504301599e-11
10,9.054634122155989e-05,555.4030439853668,0.1378458221333989,0.9960887,0.8196292819009843,0.8069936292003831,0.8128348919008417,0.7508785648564378,0.9987038730472811,0.7365864891511946,0.7589039764092516,0.7571452290088673,0.8402676328660231,0.9886908,0.2471727,0.25,0.24857831091691074,3.451607245330737e-11,0.9943132436676433,4.344237368941125e-11,1.469464527104722e-11,4.541119839946364e-11
