epoch,lr,time_s,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_mean_dice,train_dice_bg,train_dice_ncr,train_dice_ed,train_dice_et,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_mean_dice,val_dice_bg,val_dice_ncr,val_dice_ed,val_dice_et
1,9.990232305719945e-05,511.5990996360779,0.7242450781312644,0.9925193,0.6646797411851699,0.706778515723207,0.6828379677657226,0.5780175964149595,0.997299081839591,0.5080284177342198,0.6018838237521135,0.6241405477585453,0.846642886440481,0.9886964,0.2471741,0.25,0.24857901889901346,3.441313771012097e-11,0.9943160755960541,4.364715638585626e-11,1.474317391026209e-11,4.484908283424455e-11
2,9.960967771506666e-05,507.90343856811523,0.6351187271492726,0.9955554,0.7849506270286221,0.7961760741987878,0.7899995756325778,0.7204819885828732,0.9985523367961449,0.6870471014557179,0.7344697927220166,0.7399290715708846,0.8995619045245491,0.9887202,0.24718005,0.25,0.2485820277784678,3.4535727339221244e-11,0.9943281111138714,4.3538836640389284e-11,1.4757969303206052e-11,4.53103760740684e-11
3,9.912321891107009e-05,512.2594382762909,0.6272693646340525,0.9960087,0.8065230023250114,0.8164011246383241,0.8110875425303105,0.7485565379355116,0.99868055632784,0.7265600952222084,0.761512673299186,0.7575968452851404,0.8642267665596886,0.9887277,0.247181925,0.25,0.24858297593984333,3.447939296677791e-11,0.9943319537577698,4.360528495863579e-11,1.479596366089433e-11,4.5036930280803596e-11
4,9.844486647586723e-05,512.7311561107635,0.31859785201223273,0.9961067,0.8179964211860922,0.8111239218446795,0.8141319174791226,0.752608072432218,0.9987035031091261,0.7294610151809636,0.7641735083088421,0.7641896938068478,0.15198724952790235,0.995482,0.7855414919107319,0.7918774252102282,0.7886633083139349,0.7186877771800799,0.9985899017300787,0.6591084772039185,0.7347613634705652,0.7621934908657558
5,9.757729755661011e-05,513.13769698143,0.1329934006854452,0.9963555,0.8299712135307923,0.8223097251930165,0.8257714980111709,0.7680953035400209,0.9988000814367646,0.7490412766535598,0.7791079546391608,0.776136679327342,0.6625201046068439,0.9886807,0.247170175,0.25,0.24857703401053774,3.455672583867744e-11,0.9943080860437736,4.363572893294778e-11,1.465416178173133e-11,4.538028680135322e-11
6,9.652393605146844e-05,512.599118232727,0.12623978883433132,0.9965049,0.8360957890000154,0.8301874716914637,0.8328407971986349,0.7775059197570807,0.9988453790496647,0.7637803394353044,0.7884525516880573,0.7802848681478803,0.5890512999783202,0.9887058,0.24717645,0.25,0.24858020728857932,3.453491972765101e-11,0.9943208291543176,4.3567289677010965e-11,1.4722986999385713e-11,4.5314482506556346e-11
7,9.528893909706797e-05,514.8472695350647,0.1224110706797091,0.996617,0.8432655008466738,0.8383805825663592,0.840489300384939,0.7876969930192823,0.9988662729808439,0.7794837745916781,0.7951514566559276,0.7884557478102412,1.7830255118060654,0.995578,0.7972955518581281,0.7790871785083466,0.7880294362009332,0.7178417084297086,0.9985926195297528,0.6482960596457158,0.7439437314556425,0.7612853341877678
8,9.387718066217124e-05,517.4130074977875,0.11850839034331274,0.9967089,0.8467727946720289,0.841756060777692,0.8439959027800885,0.7923606257740912,0.9989017842972542,0.7839502358486488,0.800213511045151,0.7929181304284736,0.6093504026385398,0.9886866,0.24717165,0.25,0.24857777992771712,3.438979246878509e-11,0.9943111197108687,4.342728101604953e-11,1.472949286334375e-11,4.501260352696198e-11
9,9.229423231234974e-05,513.2075762748718,0.11569491691148824,0.9967948,0.8526007097125957,0.8479292657001823,0.8500317198039369,0.80040471111792,0.9989126953832618,0.7978855342116928,0.8053055040163564,0.7980230951257109,0.5861731609556733,0.9886654,0.24716635,0.25,0.24857509966231625,3.435883852177291e-11,0.9943003986492652,4.342728101604953e-11,1.4689248938485992e-11,4.49599856107832e-11
10,9.054634122155989e-05,514.8062379360199,0.11347690210201587,0.996859,0.853940051515529,0.8507776426134275,0.8521135989422812,0.8031728060554029,0.9989359776132763,0.8012900840238852,0.8093769477985593,0.7988513863437638,0.19068694820952573,0.9939042,0.8479335338491456,0.6415335738023932,0.7203025574436859,0.627923102291931,0.9974409732496028,0.6286301722017829,0.5714368387082106,0.6837022959657995
11,8.864040551740155e-05,512.3586630821228,0.11047251781310086,0.9969259,0.858510922806073,0.8548076069832636,0.8564916545250374,0.8090048749694597,0.9989520436917013,0.8097605061042238,0.8124453653655871,0.8048087534385684,0.14499612866881642,0.9958342,0.8202733092671636,0.7758301495556563,0.7968708622820041,0.7296082116881246,0.9986588645545191,0.682969471473462,0.7472645118649553,0.7585906517259567
12,8.658394705735986e-05,513.576610326767,0.10855848775353326,0.9969414,0.8596838371820021,0.8556762142925324,0.8574788224935341,0.810320543524847,0.9989537099020693,0.8116877809601208,0.8158923772603842,0.8033814723540359,0.6043732202389954,0.9886766,0.24716915,0.25,0.2485765156587049,3.435010757791496e-11,0.9943060626348198,4.3538836640389284e-11,1.471865294866548e-11,4.479283314469013e-11
13,8.438508174347008e-05,512.4993665218353,0.10706022390668575,0.9970098,0.8621986547562139,0.8598646980176662,0.860870211611803,0.8148341621334177,0.9989783600566078,0.8180582878735665,0.8198467983451327,0.8065974001815543,0.14243708920313874,0.9958349,0.8128696716701461,0.7995492434500802,0.805013915495812,0.740467559520137,0.9986529329282591,0.686586081453196,0.7657888604071538,0.7690277367000609
14,8.205248749256013e-05,514.0640184879303,0.10487052483572473,0.9971126,0.8658048501257507,0.8614095836821251,0.8634821899938047,0.8183029984720621,0.9990197140775448,0.8187996397318676,0.8247110285686672,0.8113983271156515,0.20777762211390943,0.9933471,0.841880661283913,0.6189310344105952,0.6938409970380552,0.5927463310815422,0.9971249949309122,0.6239153947933201,0.49701408331296226,0.6573095151383441
15,7.959536998847742e-05,517.0090990066528,0.10319330093890418,0.9971127,0.8660899460086628,0.8635366138929441,0.8645732180647285,0.8197597510453707,0.9990135686373459,0.8204354562541704,0.8274253126836609,0.8114184841982808,0.6359715784950563,0.9886916,0.2471729,0.25,0.24857841205745526,3.4423338155407776e-11,0.9943136482298214,4.3393360813912195e-11,1.4729926792046872e-11,4.5146726860264254e-11
16,7.702342635146032e-05,517.8851351737976,0.10086220978325432,0.9971556,0.868470816265972,0.8666098274260399,0.8674032435524537,0.823528059032775,0.9990287971207025,0.8269527131189279,0.8293500777856913,0.8142813861937057,0.6663839302985015,0.9886881,0.247172025,0.25,0.24857796956697228,3.443573969858723e-11,0.9943119282662743,4.3544524274176155e-11,1.4715620631083577e-11,4.5047074190501957e-11
17,7.434680686803489e-05,514.0258235931396,0.09944513159195742,0.9971711,0.8704399160579617,0.8675560613343724,0.8688412091802968,0.8254453720751794,0.9990286700057989,0.8284775198866159,0.8312783801703919,0.8165802161685309,0.6706349422236098,0.9887009,0.247175225,0.25,0.24857958781031375,3.453682954153974e-11,0.9943184012396438,4.3742618431225986e-11,1.4708910657860313e-11,4.515895953553292e-11
18,7.157607493247108e-05,513.251401424408,0.09838010888749256,0.9972469,0.8726520110537516,0.870384694411899,0.8713797013290332,0.8288210616925921,0.9990556202473321,0.8333535231206672,0.83492143163755,0.8181882303195592,0.667043589635649,0.9886801,0.247170025,0.25,0.24857695815430547,3.448512365055046e-11,0.9943078826156047,4.339901050067707e-11,1.4680192016696074e-11,4.5376168434278236e-11
19,6.872216535789155e-05,512.8517475128174,0.096722026197782,0.9972892,0.8759459601684765,0.8734256052429332,0.8745472081207595,0.8330434277061,0.99905854937349,0.837573946332107,0.837779426471422,0.8237769103147711,0.7742190877531304,0.9887062,0.24717655,0.25,0.2485802578580989,3.4455532666143284e-11,0.9943210314323959,4.3713936000886784e-11,1.4751220663292307e-11,4.4901441334250754e-11
20,6.579634122155988e-05,512.8135364055634,0.09540386242042369,0.9973108,0.8763140869175226,0.8726873929642647,0.874359486777163,0.8327873806540832,0.9990758556523326,0.8394991693375036,0.8383034045678207,0.8205595680569254,0.13938623889022653,0.9957437,0.7922144207110451,0.8137256494958245,0.8023597810864773,0.7369278469543684,0.9986555329825377,0.681531877544573,0.7579757496568795,0.7712759136616526
21,6.28101494146603e-05,513.3203637599945,0.09419593677743107,0.9973857,0.878439149051152,0.8767159108790402,0.8774338733877555,0.8368779165442356,0.999101743926865,0.8428672530615131,0.8433589578471875,0.8244075387240062,0.5791933641438748,0.9886655,0.247166375,0.25,0.2485751123052117,3.437728362536242e-11,0.9943003992224739,4.346503237955991e-11,1.4682562987979642e-11,4.4984255508547716e-11
22,5.9775375071993364e-05,513.7967126369476,0.09270851508657052,0.9974007,0.8786082181054803,0.8764520066552268,0.8774127436008238,0.8368482086761065,0.999106297885744,0.8398936170245521,0.8459208629610314,0.8247301460427362,0.6625040906951475,0.9887208,0.2471802,0.25,0.24858210363164102,3.4590823483744196e-11,0.9943284145265643,4.3717758151450654e-11,1.4738176297847666e-11,4.531653600193427e-11
23,5.670399506143306e-05,515.5029065608978,0.09101254418634866,0.9974725,0.883320023448318,0.880587108980634,0.8818390491760386,0.8427421119135184,0.9991298609718386,0.8492126707953105,0.847562914232454,0.8314507507127911,0.7427159826328897,0.9886902,0.24717255,0.25,0.248578235061449,3.444453026526592e-11,0.9943129402457962,4.3448036146878344e-11,1.471843631310944e-11,4.516711833580997e-11
24,5.3608130716701005e-05,512.5761196613312,0.09043792075272195,0.9973993,0.8786408764178892,0.8777444764664355,0.8781173849093221,0.8377897016753453,0.9991004346197722,0.8400040654570585,0.845656832312046,0.8277082072569315,0.6924682319492773,0.9886958,0.24717395,0.25,0.2485789430439789,3.44241481198269e-11,0.9943157721759158,4.3408429915205606e-11,1.4739696951613413e-11,4.512431749266168e-11
25,5.049999999999999e-05,512.5703949928284,0.08920722444155658,0.997466,0.8822540697330524,0.8795309738230984,0.8807878394938953,0.8413403946072187,0.9991301741622809,0.8487959907132625,0.8476567279859064,0.8275684651224873,0.7777931675853078,0.9885417,0.24717897793591231,0.2499554473525765,0.24855945942697605,3.344493977233669e-11,0.9942378877062469,4.3423509486151217e-11,1.4740348756434307e-11,4.2170961074424536e-11
26,4.7391869283298976e-05,581.4926450252533,0.08763718022974212,0.9975377,0.8850333143183031,0.8833538303429899,0.8841077065672907,0.8457593264596377,0.9991528468983796,0.8512762244886727,0.8513457013809417,0.8346560535092985,0.7442715694013053,0.9886992,0.2471748,0.25,0.24857937288856957,3.4523171900977475e-11,0.9943174915542786,4.355400696674416e-11,1.4711290915561438e-11,4.5304217820626815e-11
27,4.429600493856693e-05,798.1251275539398,0.08672021219714442,0.9975396,0.8864143639297648,0.8832348603299164,0.8847506578934781,0.8466165167854687,0.9991530812255556,0.854938958964733,0.8531573128710642,0.8317532785206085,0.7179163002127722,0.9886765,0.247169125,0.25,0.24857650301595055,3.443387600713461e-11,0.994306062062184,4.372540445807934e-11,1.4686875807562466e-11,4.4889347755762023e-11
28,4.122462492800662e-05,514.00088763237,0.08524544806723312,0.9975994,0.8880111601871972,0.8873220072789368,0.8875646310497455,0.8503622546089789,0.9991718108805431,0.8580590169286427,0.8559210204791561,0.8371067264191374,0.655215965510533,0.9886654,0.24716635,0.25,0.24857509966231625,3.437509392750185e-11,0.9943003986492652,4.350474201498718e-11,1.4682778568800818e-11,4.4937761198717575e-11
29,3.8189850585339674e-05,514.5035951137543,0.08439577877691642,0.9976158,0.8883210310138535,0.888458396033891,0.8883329326845039,0.851385226514647,0.9991760512018827,0.8602202785904556,0.857424983067779,0.8365104178857063,0.7465858872539555,0.9887025,0.247175625,0.25,0.24857979008926676,3.4474675438496594e-11,0.9943192103554562,4.351799468891083e-11,1.4736873130042046e-11,4.516915849653692e-11
30,3.5203658778440106e-05,515.6474733352661,0.08347152370931384,0.9975954,0.889602854546409,0.8885650442524126,0.8889732653096266,0.8522427844697135,0.9991647583420039,0.8592991048159588,0.8569253815955551,0.8405038669976265,0.7354963021929504,0.9886647,0.247166175,0.25,0.24857501116201236,3.430848482103054e-11,0.9942999946496768,4.346125428990998e-11,1.4705449839494346e-11,4.475875033368728e-11
31,3.227783464210844e-05,513.6236958503723,0.0823507504191344,0.9976781,0.8926315509675637,0.8909174594027661,0.8917101055943412,0.8558802752755442,0.9991996470642707,0.8635722631882112,0.8622695231076173,0.8417990395308044,0.7017620069098853,0.9887165,0.247179125,0.25,0.24858156001622153,3.450116523325671e-11,0.9943262900632793,4.333506673412484e-11,1.4763416254303338e-11,4.540501271134194e-11
32,2.942392506752889e-05,512.4676673412323,0.08196625962699515,0.9976913,0.8934403778234915,0.891040691662228,0.8921488039257182,0.856464293080049,0.9992022859647619,0.8631425328388369,0.863467559893335,0.8427827865079751,0.6705788245938341,0.9886784,0.2471696,0.25,0.24857674322806542,3.435769926612479e-11,0.994306972912262,4.3414083526811926e-11,1.4721253072844864e-11,4.4937761198717575e-11
33,2.6653193131965075e-05,512.4451344013214,0.08047718255050747,0.9977222,0.892542706681919,0.8921685942613967,0.8922755158078158,0.8566285534215096,0.9992164029742724,0.8639243689054827,0.8646069818719392,0.8413543094871063,0.6948699720979687,0.9886877,0.247171925,0.25,0.24857791899653225,3.4454181421162645e-11,0.9943117259845139,4.3367015046473524e-11,1.470977611699112e-11,4.5285753100023284e-11
34,2.3976573648539646e-05,512.3710145950317,0.07926592777743853,0.9977313,0.8939503302519101,0.8927620408329754,0.8932560549661439,0.8579351555315536,0.9992187027736709,0.8649605338134722,0.86510735822485,0.8437375745563387,0.7687363568029417,0.9886962,0.24717405,0.25,0.24857899361400698,3.4471453549118896e-11,0.9943159744560283,4.36128919689645e-11,1.4721903247435123e-11,4.5079565430957056e-11
35,2.1404630011522576e-05,512.6206979751587,0.07842335392067507,0.9977508,0.8946534600701168,0.893971658134108,0.8942291632286525,0.8592307495604766,0.9992243537359402,0.8677732793549033,0.8666774979702139,0.8432414713563127,0.7578405377404384,0.9886753,0.247168825,0.25,0.2485763513027994,3.4304744788151374e-11,0.994305455209579,4.3256337051507205e-11,1.4734267485674843e-11,4.4923629827272074e-11
36,1.8947512507439848e-05,514.060530424118,0.07793283493135261,0.9977788,0.8968884876612023,0.8952244214689355,0.8959914514664135,0.8615775774764277,0.9992330229369308,0.8695529601315032,0.8686850663844096,0.8464947059133706,0.7327021881763248,0.988672,0.247168,0.25,0.24857593409068968,3.438276295770493e-11,0.9943037363627589,4.35085276695306e-11,1.469594098088505e-11,4.494382022269915e-11
37,1.66149182565299e-05,515.7739379405975,0.0775160722899623,0.9978058,0.8962081885933404,0.8970975117766428,0.896581333371518,0.8623609555320068,0.9992424668973501,0.8683329249393872,0.8700572309950882,0.848692710661545,0.7848338109054943,0.9886675,0.247166875,0.25,0.24857536516285403,3.4342198749187695e-11,0.9943014106530426,4.335761359506774e-11,1.470090998611204e-11,4.49680726663833e-11
38,1.4416052942640132e-05,516.6937770843506,0.07656614027754152,0.9978163,0.8986336899081686,0.8961641938091751,0.8973363297044078,0.8633669942682024,0.9992443865247481,0.8713719914720957,0.8704817803874584,0.8482472109450533,0.8146665449661341,0.9886939,0.247173475,0.25,0.24857870283606745,3.4390489880034243e-11,0.9943147613458886,4.3610989967570385e-11,1.4745565271027243e-11,4.481491440150511e-11
39,1.235959448259843e-05,513.682678937912,0.07564983462650969,0.9978344,0.8992297409377704,0.8974617127030448,0.8982731887281843,0.8646155120189122,0.9992462188631885,0.8725304685777425,0.8717798499579181,0.8495362175210759,0.7477471012007061,0.9886797,0.247169925,0.25,0.24857690758345852,3.442487039760002e-11,0.9943076803322167,4.340089405653396e-11,1.4700477765311276e-11,4.517323937095481e-11
40,1.04536587784401e-05,515.334242105484,0.0752031095144965,0.9978264,0.8995623143194345,0.8975713551405877,0.8984921763083513,0.8649075317007995,0.999246160645724,0.8734731597582475,0.871920420995454,0.8493290143486967,0.7760665178872072,0.9887175,0.247179375,0.25,0.24858168643862188,3.443293018768848e-11,0.9943266957560996,4.335385415575505e-11,1.4790055166687027e-11,4.5154881240623364e-11
41,8.70576768765026e-06,513.2784016132355,0.07421192424389075,0.9978722,0.9006023132356911,0.8992385984385507,0.8998717304852246,0.8667398748124446,0.9992672975105705,0.873741847172201,0.8747266326847741,0.8517511445803586,0.14213969441232102,0.9959954,0.819871246518526,0.7990329257848213,0.8086755146684941,0.7453282528402857,0.9987172496700344,0.6888673944155298,0.7652761984576778,0.7818411656476494
